threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.675,2023,49,30,29,1,0.9666666666666667,0.6122448979591837,0.5918367346938775
0.675,2024,253,145,138,7,0.9517241379310345,0.5731225296442688,0.5454545454545454
0.675,2025,367,234,224,10,0.9572649572649573,0.6376021798365122,0.6103542234332425
0.7,2022,49,8,4,4,0.5,0.16326530612244897,0.08163265306122448
0.7,2023,48,29,28,1,0.9655172413793104,0.6041666666666666,0.5833333333333334
0.7,2024,244,139,132,7,0.9496402877697842,0.569672131147541,0.5409836065573771
0.7,2025,343,218,208,10,0.9541284403669725,0.6355685131195336,0.6064139941690962
0.725,2022,49,8,4,4,0.5,0.16326530612244897,0.08163265306122448
0.725,2023,48,29,28,1,0.9655172413793104,0.6041666666666666,0.5833333333333334
0.725,2024,201,119,112,7,0.9411764705882353,0.5920398009950248,0.5572139303482587
0.725,2025,254,169,162,7,0.9585798816568047,0.6653543307086615,0.6377952755905512
0.75,2022,48,8,4,4,0.5,0.16666666666666666,0.08333333333333333
0.75,2023,48,29,28,1,0.9655172413793104,0.6041666666666666,0.5833333333333334
0.75,2024,164,108,102,6,0.9444444444444444,0.6585365853658537,0.6219512195121951
0.75,2025,233,157,152,5,0.9681528662420382,0.6738197424892703,0.6523605150214592
0.775,2022,48,8,4,4,0.5,0.16666666666666666,0.08333333333333333
0.775,2023,46,28,27,1,0.9642857142857143,0.6086956521739131,0.5869565217391305
0.775,2024,156,103,99,4,0.9611650485436893,0.6602564102564102,0.6346153846153846
0.775,2025,208,141,136,5,0.9645390070921985,0.6778846153846154,0.6538461538461539
0.7999999999999999,2022,48,8,4,4,0.5,0.16666666666666666,0.08333333333333333
0.7999999999999999,2023,37,23,22,1,0.9565217391304348,0.6216216216216216,0.5945945945945946
0.7999999999999999,2024,127,80,76,4,0.95,0.6299212598425197,0.5984251968503937
0.7999999999999999,2025,166,117,114,3,0.9743589743589743,0.7048192771084337,0.6867469879518072
0.825,2022,47,8,4,4,0.5,0.1702127659574468,0.0851063829787234
0.825,2023,32,22,21,1,0.9545454545454546,0.6875,0.65625
0.825,2024,97,65,61,4,0.9384615384615385,0.6701030927835051,0.6288659793814433
0.825,2025,152,106,104,2,0.9811320754716981,0.6973684210526315,0.6842105263157895
0.85,2022,45,7,3,4,0.42857142857142855,0.15555555555555556,0.06666666666666667
0.85,2023,32,22,21,1,0.9545454545454546,0.6875,0.65625
0.85,2024,76,54,51,3,0.9444444444444444,0.7105263157894737,0.6710526315789473
0.85,2025,130,92,90,2,0.9782608695652174,0.7076923076923077,0.6923076923076923
0.875,2022,43,6,2,4,0.3333333333333333,0.13953488372093023,0.046511627906976744
0.875,2023,29,20,19,1,0.95,0.6896551724137931,0.6551724137931034
0.875,2024,71,53,50,3,0.9433962264150944,0.7464788732394366,0.704225352112676
0.875,2025,116,81,79,2,0.9753086419753086,0.6982758620689655,0.6810344827586207
0.9,2022,43,6,2,4,0.3333333333333333,0.13953488372093023,0.046511627906976744
0.9,2023,27,20,19,1,0.95,0.7407407407407407,0.7037037037037037
0.9,2024,65,48,45,3,0.9375,0.7384615384615385,0.6923076923076923
0.9,2025,80,58,57,1,0.9827586206896551,0.725,0.7125
0.9249999999999999,2022,42,6,2,4,0.3333333333333333,0.14285714285714285,0.047619047619047616
0.9249999999999999,2023,26,20,19,1,0.95,0.7692307692307693,0.7307692307692307
0.9249999999999999,2024,37,31,28,3,0.9032258064516129,0.8378378378378378,0.7567567567567568
0.9249999999999999,2025,63,50,49,1,0.98,0.7936507936507936,0.7777777777777778
0.95,2022,42,6,2,4,0.3333333333333333,0.14285714285714285,0.047619047619047616
0.95,2023,25,19,18,1,0.9473684210526315,0.76,0.72
0.95,2024,35,29,27,2,0.9310344827586207,0.8285714285714286,0.7714285714285715
0.95,2025,63,50,49,1,0.98,0.7936507936507936,0.7777777777777778
