fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
59,1562,157,0.10051216389244558,0.75,0.75,0.75,0.009603072983354673,0.8666666666666667,0.08280254777070063,0.1511627906976744,0,0.3681318681318681
60,1269,124,0.09771473601260836,0.75,0.75,0.75,0.014972419227738377,0.8421052631578947,0.12903225806451613,0.22377622377622375,0,0.3175675675675675
61,1079,98,0.09082483781278962,0.8100000000000003,0.81,0.81,0.0027803521779425394,0.3333333333333333,0.01020408163265306,0.0198019801980198,0,0.2715404699738903
62,1057,88,0.08325449385052035,0.7599999999999999,0.76,0.76,0.003784295175023652,0.5,0.022727272727272728,0.04347826086956522,0,0.1209677419354838
63,1717,102,0.0594059405940594,0.8499999999999999,0.85,0.85,0.0052417006406523005,1.0,0.08823529411764706,0.1621621621621622,0,0.164021164021164
64,1322,102,0.07715582450832073,0.78,0.78,0.78,0.0030257186081694403,0.75,0.029411764705882353,0.056603773584905655,0,0.2192
65,1752,64,0.0365296803652968,0.7899999999999999,0.79,0.79,0.0,,0.0,,0,0.1209440331010469
66,1046,57,0.05449330783938815,0.75,0.75,0.75,0.0,,0.0,,0,0.099544567338972
67,1071,95,0.08870214752567694,0.89,0.89,0.89,0.0,,0.0,,0,0.2649572649572649
68,1416,81,0.057203389830508475,0.8600000000000002,0.86,0.86,0.0014124293785310734,1.0,0.024691358024691357,0.048192771084337345,0,0.1213592233009708
69,1557,161,0.10340398201669879,0.79,0.79,0.79,0.03211303789338472,0.62,0.19254658385093168,0.2938388625592417,0,0.4294871794871794
70,1647,80,0.048573163327261686,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.006678809957498482,1.0,0.1375,0.2417582417582418,0,0.1544117647058823
71,1355,126,0.0929889298892989,0.75,0.75,0.75,0.016974169741697416,0.6086956521739131,0.1111111111111111,0.18791946308724827,0,0.5095785440613025
72,1695,169,0.09970501474926254,0.7599999999999999,0.76,0.76,0.0035398230088495575,0.6666666666666666,0.023668639053254437,0.04571428571428571,0,0.336870026525199
73,1425,112,0.07859649122807018,0.75,0.75,0.75,0.0007017543859649122,1.0,0.008928571428571428,0.017699115044247787,0,0.1717352415026833
74,1984,207,0.10433467741935484,0.7599999999999999,0.76,0.76,0.0045362903225806455,1.0,0.043478260869565216,0.08333333333333333,0,0.1708333333333332
75,1430,106,0.07412587412587412,0.75,0.75,0.75,0.0048951048951048955,1.0,0.0660377358490566,0.1238938053097345,0,0.2597402597402597
76,1591,242,0.15210559396605908,0.8800000000000002,0.88,0.88,0.05593966059082338,0.797752808988764,0.29338842975206614,0.42900302114803623,0,0.631578947368421
77,1237,159,0.12853678253839934,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.014551333872271624,0.8888888888888888,0.10062893081761007,0.1807909604519774,0,0.4272300469483568
78,1280,117,0.09140625,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.02109375,0.48148148148148145,0.1111111111111111,0.18055555555555555,0,0.3506493506493506
79,1924,148,0.07692307692307693,0.8800000000000003,0.88,0.88,0.0031185031185031187,0.8333333333333334,0.033783783783783786,0.06493506493506494,0,0.2529097387173398
80,1312,71,0.054115853658536585,0.7800000000000001,0.78,0.78,0.0,,0.0,,0,0.1154598825831702
