fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
79,1984,207,0.10433467741935484,0.7699999999999998,0.77,0.77,0.003528225806451613,0.8571428571428571,0.028985507246376812,0.056074766355140186,0,0.1987381703470031
80,1280,117,0.09140625,0.8499999999999999,0.85,0.85,0.003125,1.0,0.03418803418803419,0.06611570247933884,0,0.2995951417004048
81,1954,193,0.09877175025588536,0.75,0.75,0.75,0.0,,0.0,,0,0.2949852507374631
82,1237,159,0.12853678253839934,0.7599999999999999,0.76,0.76,0.005658852061438965,0.5714285714285714,0.025157232704402517,0.04819277108433735,0,0.4010989010989011
83,1985,215,0.10831234256926953,0.75,0.75,0.75,0.0025188916876574307,1.0,0.023255813953488372,0.04545454545454545,0,0.1261595547309833
84,1488,153,0.1028225806451613,0.75,0.75,0.75,0.0013440860215053765,1.0,0.013071895424836602,0.02580645161290323,0,0.1511627906976744
85,1669,117,0.0701018573996405,0.75,0.75,0.75,0.0011983223487118035,0.5,0.008547008547008548,0.016806722689075633,0,0.0960960960960961
86,1572,160,0.10178117048346055,0.75,0.75,0.75,0.0,,0.0,,0,0.1464019851116625
87,1999,131,0.0655327663831916,0.7699999999999998,0.77,0.77,0.0,,0.0,,0,0.2681564245810056
88,1695,169,0.09970501474926254,0.75,0.75,0.75,0.0011799410029498525,0.5,0.005917159763313609,0.011695906432748537,0,0.1530054644808743
89,1430,106,0.07412587412587412,0.7999999999999998,0.8,0.8,0.0,,0.0,,0,0.1580459770114942
90,1312,71,0.054115853658536585,0.8699999999999999,0.87,0.87,0.006859756097560976,0.5555555555555556,0.07042253521126761,0.125,0,0.2133090246125797
91,1725,118,0.06840579710144927,0.8,0.8,0.8,0.0,,0.0,,0,0.2811387900355871
92,877,18,0.020524515393386546,0.75,0.75,0.75,0.0,,0.0,,0,0.0806703039750584
93,1205,113,0.0937759336099585,0.99,0.99,0.99,0.0,,0.0,,0,0.1588235294117673
94,1346,125,0.09286775631500743,0.6600000000000001,0.66,0.66,0.0,,0.0,,0,0.1521984216459977
95,1851,121,0.06537007023230686,0.7200000000000001,0.72,0.72,0.0,,0.0,,0,0.1279333838001513
