race,positives,negatives,tp,fp,fn,tn,kappa,gmean,year,race_name,race_index,system,target
2024 :: Canadian Grand Prix,85,1023,1,13,84,1010,-0.001528254062919121,0.10777385242282636,2024,Canadian Grand Prix,52,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Chinese Grand Prix,53,782,1,4,52,778,0.023799582463465585,0.13700880776575997,2024,Chinese Grand Prix,53,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Dutch Grand Prix,52,1355,2,3,50,1352,0.06410723026142395,0.19589891210478336,2024,Dutch Grand Prix,54,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Emilia Romagna Grand Prix,55,1163,3,12,52,1151,0.06767133118048085,0.23234165954461727,2024,Emilia Romagna Grand Prix,55,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Hungarian Grand Prix,80,1256,2,8,78,1248,0.031557653405259734,0.15760953121943544,2024,Hungarian Grand Prix,56,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Italian Grand Prix,60,922,0,0,60,922,0.0,0.0,2024,Italian Grand Prix,57,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Japanese Grand Prix,67,797,2,2,65,795,0.048019997368767164,0.17255676891634328,2024,Japanese Grand Prix,58,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Las Vegas Grand Prix,81,825,10,7,71,818,0.17860380779691754,0.3498703730881389,2024,Las Vegas Grand Prix,59,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Mexico City Grand Prix,44,1061,6,27,38,1034,0.12601452890570808,0.3645456030474449,2024,Mexico City Grand Prix,60,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Miami Grand Prix,45,820,1,1,44,819,0.03829524397776407,0.1489802736982971,2024,Miami Grand Prix,61,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Monaco Grand Prix,14,1212,2,85,12,1127,0.02033116401680546,0.3644698668317901,2024,Monaco Grand Prix,62,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Qatar Grand Prix,73,715,6,1,67,714,0.13599277629075435,0.286490536112987,2024,Qatar Grand Prix,63,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Saudi Arabian Grand Prix,38,798,1,38,37,760,-0.021039603960395947,0.1583118967153259,2024,Saudi Arabian Grand Prix,64,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Singapore Grand Prix,50,1106,7,11,43,1095,0.18727215915008866,0.3723004095306757,2024,Singapore Grand Prix,65,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Spanish Grand Prix,84,1207,7,15,77,1192,0.10798347728126179,0.2868757707013971,2024,Spanish Grand Prix,66,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: São Paulo Grand Prix,26,923,0,2,26,921,-0.003929273084479323,0.0,2024,São Paulo Grand Prix,67,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: United States Grand Prix,45,938,4,6,41,932,0.13098843223925516,0.29718732012936955,2024,United States Grand Prix,68,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Abu Dhabi Grand Prix,54,1066,0,1,54,1065,-0.0017563260261497238,0.0,2025,Abu Dhabi Grand Prix,69,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Australian Grand Prix,58,587,13,7,45,580,0.30110439674932277,0.470600761432648,2025,Australian Grand Prix,70,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Austrian Grand Prix,64,1011,4,23,60,988,0.05450942576481688,0.24713992080397504,2025,Austrian Grand Prix,71,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Azerbaijan Grand Prix,37,856,1,26,36,830,-0.0038437828625303982,0.1618830215146443,2025,Azerbaijan Grand Prix,72,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Bahrain Grand Prix,85,938,4,2,81,936,0.0778078263986185,0.2166990652644628,2025,Bahrain Grand Prix,73,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Belgian Grand Prix,52,767,3,8,49,759,0.07472300953362543,0.23893631501224702,2025,Belgian Grand Prix,74,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: British Grand Prix,59,500,10,24,49,476,0.1494111516414799,0.4016913394677433,2025,British Grand Prix,75,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Canadian Grand Prix,106,1015,2,5,104,1010,0.023963766784621754,0.13702181974881142,2025,Canadian Grand Prix,76,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Chinese Grand Prix,50,997,1,2,49,995,0.03250529977713745,0.14127943813208188,2025,Chinese Grand Prix,77,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Dutch Grand Prix,76,1045,2,5,74,1040,0.037182400330510346,0.1618328662706963,2025,Dutch Grand Prix,78,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Emilia Romagna Grand Prix,66,965,5,7,61,958,0.11068828170586276,0.2742408411207362,2025,Emilia Romagna Grand Prix,79,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Hungarian Grand Prix,60,1289,3,10,57,1279,0.06741851274802158,0.22273774355722717,2025,Hungarian Grand Prix,80,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Italian Grand Prix,40,917,1,3,39,914,0.03814492198717323,0.1578550333674316,2025,Italian Grand Prix,81,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Japanese Grand Prix,42,997,2,1,40,996,0.08395157301679446,0.21810842552369383,2025,Japanese Grand Prix,82,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Las Vegas Grand Prix,34,769,1,5,33,764,0.03777749747729575,0.17094013825062238,2025,Las Vegas Grand Prix,83,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Mexico City Grand Prix,56,1150,4,12,52,1138,0.09238005644402647,0.26586317874738613,2025,Mexico City Grand Prix,84,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Miami Grand Prix,22,468,0,5,22,463,-0.016910069177555664,0.0,2025,Miami Grand Prix,85,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Monaco Grand Prix,72,1274,2,87,70,1187,-0.03645102751483642,0.16087530937524083,2025,Monaco Grand Prix,86,Flink Strategy Engine,target_pit_any_h2_clean_actionable
